objectid,filename,creator,rights,content,materials,dimensions,title,file_size,file_date,colors,related_objects,binding_styles,format
object_001,green_long_stitch.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"green, white, blue and black tiziano paper, waxed linen thread",4.75x4.5x0.875 in,green long stitch,443 KB,04-18-2025,"green, white, black, blue",,archival long stitch,image/jpeg
object_002,purple_long_stitch.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"case paper, suminagashi ink, ",3.5x9.75x0.75 in,blue and purple long stitch,1.9 MB,04-18-2025,"blue, purple, pink, white",,archival long stitch,image/jpeg
object_003,female_masculinity.jpeg,"Ayers, Luke (binder); Halberstam, Jack (author)",copyright Luke Ayers,Female Masculinity by Jack Halberstam,"brown book cloth, standard printer paper, yellow false endbands, waxed linen thread",6x8.75x1 in,Female Masculinity,704 KB,04-18-2025,"brown, white, black, yellow",,rounded case binding,image/jpeg
object_004,slotted_tape_1.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"navy blue case paper, linen thread, mohawk 70lb paper",5.25x6x0.3 in,slotted tape 1,610 KB,04-18-2025,"navy, white",,slotted tape binding,image/jpeg
object_005,slotted_tape_2.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"cream, red, yellow, and blue case paper, linen thread, mohawk 70lb paper",5.25x6x0.3 in,slotted tape 2,623 KB,04-18-2025,"cream, red, yellow, blue, white",,slotted tape binding,image/jpeg
object_006,claudias_diary.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"cream book cloth, black letterpress ink, multicolored alcohol ink, pink endpapers, white mohawk 70lb paper",6.25x9.25x0.6 in,Claudia's diary,1 MB,04-18-2025,"cream, yellow, red, orange, blue, pink, green, purple, white, black",,flat back case binding,image/jpeg
object_007,small_flat_back_case.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"cream book cloth, black letterpress ink, multicolored alcohol ink, pink lightweight paper, white mohawk 70lb paper",3.25x5x0.5 in,small flat back case,719 KB,04-18-2025,"cream, yellow, red, orange, blue, pink, green, purple, white, black",,flat back case binding,image/jpeg
object_008,pamphlet_1.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"gray tiziano paper, mohawk 70lb, linen thread, red block printing ink",6x8.5x0.06 in,pamplet 1,1 MB,04-18-2025,"gray, red, white",,pamphlet stitch,image/jpeg
object_009,account_binding.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"blue and white suminagashi paper, paper thread, white japanese paper",3x4.5x0.5 in,account binding,2.3 MB,04-18-2025,"blue, white",,stab binding,image/jpeg
object_010,space_rounded_case.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"paste paper, book cloth, book board, student grade paper, linen thread, PVA glue",5.25x7.25x0.6 in,Space Rounded Case,787 KB,04-18-2025,"green, black, white",,rounded case binding,image/jpeg
object_011,marine_rounded_case.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"paste paper, book board, student grade paper, linen thread, PVA glue",5.25x7.25x0.6 in,Marine Rounded Case,2.3 MB,04-18-2025,"green, blue, yellow, red, orange, white",,rounded case binding,image/jpeg
object_012,sewn_boards_1.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"paste paper, book cloth, __",5.75x7.25x3.8 in,sewn boards 1,559 KB,04-18-2025,"blue, yellow, green, white",,sewn boards binding,image/jpeg
object_013,sewn_boards_2.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"paste paper, book cloth, __",4x5x0.25 in,sewn boards 2,619 KB,04-18-2025,"blue, yellow, green, white",,sewn boards binding,image/jpeg
object_014,pamphlet_2.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"purple tiziano paper, 70 lb mohawk paper, linen thread, black block printing ink",5.75x8.25x0.125 in,pamphlet 2,2.3 MB,04-18-2025,"purple, black, white",,double pamphlet stitch,image/jpeg
object_015,pamphlet_3.jpeg,"Ayers, Luke",copyright Luke Ayers,n/a,"blue tiziano paper, 70 lb mohawk paper, linen thread, purple block printing ink",4.5x6x0.06 in,pamphlet 3,476 KB,04-18-2025,"blue, purple, white",,pamphlet stitch,image/jpeg
